time iterations max_iter N tolerance start_T n_threads experiment
1.802049 10000 10000 100 0.005000 0.000000 20 JABASO3 
1.678956 10000 10000 100 0.005000 0.000000 24 JABASO3 
37.282576 10000 10000 110 0.005000 0.000000 1 JABASO3 
18.106956 10000 10000 110 0.005000 0.000000 2 JABASO3 
9.352982 10000 10000 110 0.005000 0.000000 4 JABASO3 
4.770827 10000 10000 110 0.005000 0.000000 8 JABASO3 
3.418653 10000 10000 110 0.005000 0.000000 12 JABASO3 
2.597261 10000 10000 110 0.005000 0.000000 16 JABASO3 
2.411970 10000 10000 110 0.005000 0.000000 20 JABASO3 
2.663697 10000 10000 110 0.005000 0.000000 24 JABASO3 
51.265003 10000 10000 120 0.005000 0.000000 1 JABASO3 
24.450612 10000 10000 120 0.005000 0.000000 2 JABASO3 
11.844643 10000 10000 120 0.005000 0.000000 4 JABASO3 
6.189877 10000 10000 120 0.005000 0.000000 8 JABASO3 
4.191281 10000 10000 120 0.005000 0.000000 12 JABASO3 
3.442332 10000 10000 120 0.005000 0.000000 16 JABASO3 
2.947638 10000 10000 120 0.005000 0.000000 20 JABASO3 
2.843658 10000 10000 120 0.005000 0.000000 24 JABASO3 
70.339989 10000 10000 130 0.005000 0.000000 1 JABASO3 
30.448294 10000 10000 130 0.005000 0.000000 2 JABASO3 
15.622478 10000 10000 130 0.005000 0.000000 4 JABASO3 
8.277881 10000 10000 130 0.005000 0.000000 8 JABASO3 
5.753581 10000 10000 130 0.005000 0.000000 12 JABASO3 
4.699455 10000 10000 130 0.005000 0.000000 16 JABASO3 
3.977863 10000 10000 130 0.005000 0.000000 20 JABASO3 
3.499526 10000 10000 130 0.005000 0.000000 24 JABASO3 
82.315499 10000 10000 140 0.005000 0.000000 1 JABASO3 
37.932573 10000 10000 140 0.005000 0.000000 2 JABASO3 
19.404544 10000 10000 140 0.005000 0.000000 4 JABASO3 
10.265998 10000 10000 140 0.005000 0.000000 8 JABASO3 
7.344413 10000 10000 140 0.005000 0.000000 12 JABASO3 
6.052862 10000 10000 140 0.005000 0.000000 16 JABASO3 
5.676860 10000 10000 140 0.005000 0.000000 20 JABASO3 
5.791689 10000 10000 140 0.005000 0.000000 24 JABASO3 
